time,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,temperature
0.0,0.0,0.0,0.0,0.19530950234121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021345078435031518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833454192237576,0.0,0.0,0.0,0.0,0.0,1515.0
3.9999999999e-06,7.53360012686168e-09,5.718574353723386e-09,8.341659546409547e-09,0.19530939261634025,1.1126356623005284e-08,1.9169655768351003e-08,8.298148654587741e-08,1.9890693404255256e-10,0.0,0.0,0.0,0.0,1.501995985688825e-07,0.02134492563167046,0.0,0.0,0.0,1.6285505224733992e-09,0.0,5.842891187499981e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833453942693112,0.0,0.0,0.0,0.0,0.0,1514.9990756794612
7.9999999999e-06,1.7516231640876884e-08,5.693707658993337e-09,1.0815558216865072e-08,0.1953092709741087,1.754109499309956e-08,6.685755412678202e-08,1.654531773658129e-07,6.83742186123654e-10,0.0,0.0,0.0,0.0,3.4019281678679623e-07,0.021344727563066296,1.2431676111339164e-11,0.0,0.0,9.435642168506424e-09,0.0,7.459005666803498e-11,1.2431676111339164e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833453671738465,0.0,0.0,0.0,0.0,0.0,1514.9981901638607
1.2e-05,2.7921528655307832e-08,6.004496144485166e-09,1.2257625669694357e-08,0.19530914298686328,2.1034384009252384e-08,1.2672843415503475e-07,2.469053787279915e-07,1.2804619107287207e-09,0.0,0.0,0.0,0.0,5.417472732595747e-07,0.021344512468319324,4.9726676144804687e-11,0.0,0.0,2.204134920118468e-08,0.0,1.2431669036201172e-10,3.729500710860352e-11,0.0,0.0,0.0,0.0,0.0,1.2431669036201172e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833453384001157,0.0,0.0,0.0,0.0,0.0,1514.9973279334283
1.59999999999e-05,3.922189419223971e-08,6.365011038487077e-09,1.3687260065184126e-08,0.19530900436344276,2.4266604584231983e-08,2.0057243768545022e-07,3.273256653190718e-07,1.9269076386044865e-09,0.0,0.0,0.0,0.0,7.555094059413578e-07,0.021344276909608714,1.2431662184545076e-10,0.0,0.0,4.269032794172778e-08,0.0,1.864749327681761e-10,6.215831092272538e-11,0.0,0.0,0.0,0.0,0.0,6.215831092272538e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833453067263261,0.0,0.0,0.0,0.0,0.0,1514.9964929185771
1.99999999999e-05,5.099465064466301e-08,6.725525596967987e-09,1.5154187990210676e-08,0.19530886010277426,2.7560980126576764e-08,2.8158942753589997e-07,4.0719887417502113e-07,2.585784333030206e-09,0.0,0.0,0.0,0.0,9.75524434601987e-07,0.02134403075683373,2.2376979805069091e-10,1.2431655447260606e-11,0.0,6.757847901130866e-08,0.0,2.486331089452121e-10,9.945324357808485e-11,0.0,0.0,0.0,1.2431655447260606e-11,0.0,1.2431655447260605e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833452735070121,0.0,0.0,0.0,0.0,0.0,1514.9956718811895
2.39999999999e-05,6.361274756482006e-08,7.110903186843281e-09,1.6683272861440007e-08,0.19530870555607463,3.1004532426550944e-08,3.7548552422275256e-07,4.862142212248734e-07,3.2695236680765434e-09,0.0,0.0,0.0,0.0,1.2064418018713167e-06,0.0213437656972306,3.853811167694785e-10,1.2431648928047694e-11,0.0,1.0021152200899246e-07,0.0,3.1079122320119236e-10,1.4917978713657234e-10,0.0,0.0,0.0,3.7294946784143084e-11,0.0,2.237696807048585e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833452375937974,0.0,0.0,0.0,0.0,0.0,1514.9948773992003
2.79999999999e-05,7.674052940832062e-08,7.508712095030885e-09,1.8262082893378098e-08,0.19530854473870257,3.4559966265208374e-08,4.772383255234116e-07,5.646824991599138e-07,3.953262328178512e-09,0.0,0.0,0.0,0.0,1.444009871043721e-06,0.021343489105228854,5.967188419892094e-10,2.4863285082883725e-11,0.0,1.375561247210542e-07,0.0,3.7294927624325584e-10,2.1133792320451166e-10,0.0,0.0,0.0,6.215821270720932e-11,0.0,3.480859911603722e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833452000285818,0.0,0.0,0.0,0.0,0.0,1514.9940990827984
3.19999999999e-05,9.080067228556695e-08,7.918952388541367e-09,1.9903049880776654e-08,0.1953083726867107,3.827700848401706e-08,5.928896033191757e-07,6.423302212928476e-07,4.637000378219671e-09,0.0,0.0,0.0,0.0,1.6931142882339137e-06,0.021343192165837886,8.826461845940929e-10,3.7294909208201106e-11,0.0,1.8336663694032212e-07,0.0,4.475389104984133e-10,2.859276372628751e-10,0.0,0.0,0.0,9.945309122186961e-11,0.0,5.469920017202829e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833451596101655,0.0,0.0,0.0,0.0,0.0,1514.9933509618547
3.6e-05,1.0540779428242377e-07,8.341624007961594e-09,2.1606173659966095e-08,0.1953081937954977,4.210593221306396e-08,7.169942841418554e-07,7.19468178594291e-07,5.3207378172989e-09,0.0,0.0,0.0,0.0,1.9492423540631205e-06,0.021342882866533134,1.2431630414249768e-09,4.9726521656999065e-11,0.0,2.3431137004777957e-07,0.0,5.096968469842405e-10,3.7294891242749297e-10,0.0,0.0,0.0,1.491795649709972e-10,1.2431630414249766e-11,7.707610856834855e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833451174316128,0.0,0.0,0.0,0.0,0.0,1514.99262119531
